Fam_ID,Membership,ID,TGLA227_1,TGLA227_2,BM2113_1,BM2113_2,TGLA53_1,TGLA53_2,ETH10_1,ETH10_2,SPS115_1,SPS115_2,TGLA126_1,TGLA126_2,TGLA122_1,TGLA122_2,INRA23_1,INRA23_2,ETH3_1,ETH3_2,ETH225_1,ETH225_2,BM1824_1,BM1824_2
Fam_382,C,Fam_382_C,88.42,92.76,124.89,124.89,166.34,174.27,214.85,216.78,251.23,255.13,116.59,123.01,142.30,164.58,200.57,211.78,100.00,125.25,146.62,155.60,179.14,181.22
Fam_382,M,Fam_382_M,92.84,97.09,124.90,134.54,174.23,184.17,216.77,220.51,247.51,251.28,116.72,116.72,142.30,147.27,208.04,211.78,100.00,114.63,146.62,155.54,181.17,181.17
Fam_383,F,Fam_383_F,77.27,90.75,123.72,131.25,158.29,160.45,213.78,213.78,242.66,242.66,118.90,118.90,142.10,164.88,198.64,211.78,114.23,114.23,143.21,143.21,178.65,180.70
Fam_383,C,Fam_383_C,77.29,77.29,124.80,132.45,156.21,158.11,214.89,216.71,243.64,251.31,118.66,120.78,142.21,164.59,208.06,211.81,114.58,127.29,144.47,146.58,181.16,181.16
Fam_383,M,Fam_383_M,77.40,101.36,124.87,132.60,156.25,158.25,214.75,216.68,243.59,251.26,118.75,120.86,164.44,172.95,194.74,207.93,112.47,127.35,146.62,146.62,181.06,181.06
Fam_384,F,Fam_384_F,77.27,90.75,123.72,131.25,158.29,160.45,213.78,213.78,242.66,242.66,118.90,118.90,142.10,164.88,198.64,211.78,114.23,114.23,143.21,143.21,178.65,180.70
Fam_384,C,Fam_384_C,90.62,92.81,122.87,124.76,152.31,158.14,207.35,214.94,243.58,243.58,116.68,118.78,142.35,142.35,198.63,211.88,114.60,123.11,135.97,144.47,181.18,189.47
Fam_384,M,Fam_384_M,88.42,92.75,122.82,126.58,152.19,166.31,207.35,216.75,243.60,243.60,116.65,118.74,142.30,142.30,208.03,211.77,114.57,123.05,135.99,146.62,183.25,189.47
Fam_385,F,Fam_385_F,77.27,90.75,123.72,131.25,158.29,160.45,213.78,213.78,242.66,242.66,118.90,118.90,142.10,164.88,198.64,211.78,114.23,114.23,143.21,143.21,178.65,180.70
Fam_385,C,Fam_385_C,81.81,90.59,132.52,132.52,158.11,166.17,214.93,214.93,243.63,243.63,116.62,118.74,142.34,147.11,198.61,204.24,112.50,114.62,144.60,146.85,181.12,181.12
Fam_385,M,Fam_385_M,81.78,90.51,132.41,132.41,166.26,174.12,214.78,216.62,243.55,255.00,116.55,125.07,147.11,172.84,204.12,204.12,112.45,114.55,146.71,148.95,181.02,181.02
Fam_386,F,Fam_386_F,88.13,90.47,132.18,132.18,160.22,166.29,216.42,216.42,243.34,243.34,116.59,125.03,141.91,146.86,200.41,211.66,112.06,122.66,143.24,145.41,181.42,189.68
Fam_386,C,Fam_386_C,88.15,90.44,122.58,132.15,160.00,183.93,214.53,216.45,243.33,250.97,122.94,125.05,142.03,147.01,211.60,211.60,112.15,114.34,143.74,143.74,179.10,181.17
Fam_386,M,Fam_386_M,90.54,90.54,122.87,132.51,160.24,184.11,214.79,216.75,243.58,251.21,122.99,122.99,142.34,153.68,204.12,211.69,114.68,127.43,144.73,146.85,178.97,178.97
Fam_387,F,Fam_387_F,88.18,99.16,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_387,C,Fam_387_C,99.02,99.02,124.80,132.52,166.27,174.16,211.12,214.91,247.39,255.14,118.61,122.88,149.34,164.50,204.24,211.81,114.48,114.48,146.85,146.85,178.97,189.35
Fam_387,M,Fam_387_M,99.02,99.02,132.48,132.48,174.06,184.07,214.84,214.84,243.59,247.41,118.64,118.64,142.26,149.47,211.85,211.85,114.50,114.50,144.82,146.82,178.89,181.01
Fam_388,F,Fam_388_F,82.00,105.69,132.79,136.84,156.49,166.56,211.41,217.11,243.98,243.98,116.70,118.80,142.62,142.62,204.42,208.27,125.38,125.38,145.09,149.19,181.24,183.39
Fam_388,C,Fam_388_C,81.75,105.23,132.44,136.44,166.21,166.21,211.04,222.45,243.62,243.62,118.65,125.02,142.21,142.21,207.97,211.73,106.37,125.14,144.74,146.85,178.90,183.07
Fam_388,M,Fam_388_M,81.69,83.88,122.85,132.51,160.12,166.15,216.65,222.51,243.61,255.05,118.68,125.01,142.21,147.11,211.70,211.70,106.24,123.09,146.72,146.72,178.97,180.95
Fam_389,F,Fam_389_F,82.00,105.69,132.79,136.84,156.49,166.56,211.41,217.11,243.98,243.98,116.70,118.80,142.62,142.62,204.42,208.27,125.38,125.38,145.09,149.19,181.24,183.39
