Fam_ID,Offspring_ID,Parent_ID,Parent_Type,Total_Checked,Passed,Failed,Match_%,Failed_Markers,Status
Fam_027,Fam_027_C,Fam_027_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_028,Fam_028_C,Fam_028_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_028,Fam_028_C,Fam_028_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_029,Fam_029_C,Fam_029_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_029,Fam_029_C,Fam_029_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_030,Fam_030_C,Fam_030_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_030,Fam_030_C,Fam_030_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_031,Fam_031_C,Fam_031_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_031,Fam_031_C,Fam_031_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_032,Fam_032_C,Fam_032_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_032,Fam_032_C,Fam_032_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_033,Fam_033_C,Fam_033_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_033,Fam_033_C,Fam_033_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_034,Fam_034_C,Fam_034_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_034,Fam_034_C,Fam_034_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_035,Fam_035_C,Fam_035_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_035,Fam_035_C,Fam_035_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_036,Fam_036_C,Fam_036_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_036,Fam_036_C,Fam_036_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_037,Fam_037_C,Fam_037_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_037,Fam_037_C,Fam_037_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_038,Fam_038_C,Fam_038_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_038,Fam_038_C,Fam_038_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_039,Fam_039_C,Fam_039_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_039,Fam_039_C,Fam_039_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_040,Fam_040_C,Fam_040_F,พ่อ (F),11,10,1,90.9%,ETH225,❌ Mismatch (1)
Fam_040,Fam_040_C,Fam_040_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_041,Fam_041_C,Fam_041_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_041,Fam_041_C,Fam_041_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_042,Fam_042_C,Fam_042_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_042,Fam_042_C,Fam_042_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_043,Fam_043_C,Fam_043_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_043,Fam_043_C,Fam_043_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_044,Fam_044_C,Fam_044_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_044,Fam_044_C,Fam_044_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_045,Fam_045_C,Fam_045_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_045,Fam_045_C,Fam_045_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_046,Fam_046_C,Fam_046_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_046,Fam_046_C,Fam_046_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_047,Fam_047_C,Fam_047_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_047,Fam_047_C,Fam_047_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_048,Fam_048_C,Fam_048_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_048,Fam_048_C,Fam_048_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_049,Fam_049_C,Fam_049_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_049,Fam_049_C,Fam_049_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_050,Fam_050_C,Fam_050_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_050,Fam_050_C,Fam_050_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_051,Fam_051_C,Fam_051_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_051,Fam_051_C,Fam_051_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_052,Fam_052_C,Fam_052_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_052,Fam_052_C,Fam_052_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_053,Fam_053_C,Fam_053_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_053,Fam_053_C,Fam_053_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_054,Fam_054_C,Fam_054_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_054,Fam_054_C,Fam_054_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_055,Fam_055_C,Fam_055_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_055,Fam_055_C,Fam_055_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_056,Fam_056_C,Fam_056_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_056,Fam_056_C,Fam_056_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_057,Fam_057_C,Fam_057_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_057,Fam_057_C,Fam_057_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_058,Fam_058_C,Fam_058_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_058,Fam_058_C,Fam_058_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_059,Fam_059_C,Fam_059_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_059,Fam_059_C,Fam_059_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_060,Fam_060_C,Fam_060_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_060,Fam_060_C,Fam_060_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_061,Fam_061_C,Fam_061_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_061,Fam_061_C,Fam_061_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_062,Fam_062_C,Fam_062_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_062,Fam_062_C,Fam_062_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_063,Fam_063_C,Fam_063_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_063,Fam_063_C,Fam_063_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_064,Fam_064_C,Fam_064_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_064,Fam_064_C,Fam_064_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_065,Fam_065_C,Fam_065_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_065,Fam_065_C,Fam_065_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_066,Fam_066_C,Fam_066_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_066,Fam_066_C,Fam_066_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_067,Fam_067_C,Fam_067_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_067,Fam_067_C,Fam_067_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
